,File,Duration (Sec),Text Length,Speaking Length (ms),Spealing Percentage
179,1KpCbxgsGUU_0115,6.9,10,4.1000000000000005,0.5942028985507247
180,0XLKQME2ZJc_0000,7.0,4,2.0999999999999996,0.29999999999999993
181,0XLKQME2ZJc_0001,2.7,7,2.2,0.8148148148148149
182,0XLKQME2ZJc_0002,3.7,6,3.2,0.8648648648648649
183,0XLKQME2ZJc_0003,1.6,5,1.5,0.9375
184,0XLKQME2ZJc_0004,1.7,4,1.5,0.8823529411764706
185,0XLKQME2ZJc_0005,3.4,9,2.2,0.6470588235294118
186,0XLKQME2ZJc_0006,2.0,4,1.7000000000000002,0.8500000000000001
187,0XLKQME2ZJc_0007,4.1,9,2.9999999999999996,0.7317073170731707
188,0XLKQME2ZJc_0008,2.8,4,1.9,0.6785714285714286
189,0XLKQME2ZJc_0009,4.4,4,3.7000000000000006,0.8409090909090909
190,0XLKQME2ZJc_0010,2.9,7,2.5,0.8620689655172414
191,0XLKQME2ZJc_0011,4.0,7,2.6,0.65
192,0XLKQME2ZJc_0012,2.8,5,2.1999999999999997,0.7857142857142857
193,0XLKQME2ZJc_0013,4.6,6,3.0999999999999996,0.6739130434782609
194,0XLKQME2ZJc_0014,2.0,4,1.8,0.9
195,0XLKQME2ZJc_0015,3.2,4,1.9000000000000001,0.59375
196,0XLKQME2ZJc_0016,2.5,6,1.6,0.64
197,0XLKQME2ZJc_0017,3.6,6,2.8,0.7777777777777777
198,0XLKQME2ZJc_0018,1.5,4,1.4,0.9333333333333332
199,0XLKQME2ZJc_0019,4.2,4,2.5,0.5952380952380952
200,0XLKQME2ZJc_0020,4.3,7,2.6000000000000005,0.6046511627906979
201,0XLKQME2ZJc_0021,5.4,5,3.2000000000000006,0.5925925925925927
202,0XLKQME2ZJc_0022,1.4,6,1.2999999999999998,0.9285714285714285
203,0XLKQME2ZJc_0023,2.8,7,2.1999999999999997,0.7857142857142857
204,0XLKQME2ZJc_0024,2.4,6,1.9,0.7916666666666666
205,0XLKQME2ZJc_0025,3.4,7,2.6,0.7647058823529412
206,0XLKQME2ZJc_0026,2.3,7,1.6999999999999997,0.7391304347826086
207,0XLKQME2ZJc_0027,4.2,7,2.0,0.47619047619047616
208,0XLKQME2ZJc_0028,4.8,5,1.6999999999999997,0.35416666666666663
209,0XLKQME2ZJc_0029,3.9,9,3.5,0.8974358974358975
210,0XLKQME2ZJc_0030,1.6,7,1.4000000000000001,0.875
211,0XLKQME2ZJc_0031,2.9,7,2.1999999999999997,0.7586206896551724
212,0XLKQME2ZJc_0032,4.6,8,3.5999999999999996,0.782608695652174
213,0XLKQME2ZJc_0033,2.6,4,2.1,0.8076923076923077
214,0XLKQME2ZJc_0034,2.4,6,2.0,0.8333333333333334
215,0XLKQME2ZJc_0035,5.7,4,1.9000000000000001,0.33333333333333337
216,0XLKQME2ZJc_0036,2.2,4,1.7,0.7727272727272726
217,0XLKQME2ZJc_0037,2.2,5,1.5000000000000002,0.6818181818181819
218,0XLKQME2ZJc_0038,2.4,5,1.9,0.7916666666666666
219,0XLKQME2ZJc_0039,3.2,4,1.0000000000000002,0.31250000000000006
220,0XLKQME2ZJc_0040,5.1,9,2.5999999999999996,0.5098039215686274
221,0XLKQME2ZJc_0041,2.6,6,2.4,0.923076923076923
222,0XLKQME2ZJc_0042,3.2,5,2.3000000000000003,0.71875
223,0XLKQME2ZJc_0043,2.1,8,1.8,0.8571428571428571
224,0XLKQME2ZJc_0044,1.4,5,1.2999999999999998,0.9285714285714285
225,0XLKQME2ZJc_0045,5.8,9,2.9,0.5
226,0XLKQME2ZJc_0046,2.1,8,1.9000000000000001,0.9047619047619048
227,0XLKQME2ZJc_0047,3.5,9,2.5,0.7142857142857143
228,0XLKQME2ZJc_0048,3.7,9,2.4,0.6486486486486486
229,0XLKQME2ZJc_0049,2.5,5,2.0,0.8
230,0XLKQME2ZJc_0050,1.6,6,1.4000000000000001,0.875
231,0XLKQME2ZJc_0051,1.3,3,1.2,0.923076923076923
232,0XLKQME2ZJc_0052,2.5,4,1.4,0.5599999999999999
233,0XLKQME2ZJc_0053,2.7,9,2.3000000000000003,0.8518518518518519
234,0XLKQME2ZJc_0054,2.8,6,2.1999999999999997,0.7857142857142857
235,0XLKQME2ZJc_0055,4.9,7,3.5,0.7142857142857142
236,0XLKQME2ZJc_0056,2.9,9,2.3,0.793103448275862
237,0XLKQME2ZJc_0057,4.3,8,2.5,0.5813953488372093
238,0XLKQME2ZJc_0058,5.8,6,1.7999999999999998,0.31034482758620685
239,0XLKQME2ZJc_0059,1.6,5,1.2000000000000002,0.7500000000000001
240,0XLKQME2ZJc_0060,2.5,8,2.3,0.9199999999999999
241,0XLKQME2ZJc_0061,3.2,7,2.9000000000000004,0.9062500000000001
242,0XLKQME2ZJc_0062,2.0,4,1.5,0.75
243,0XLKQME2ZJc_0063,4.1,7,2.499999999999999,0.6097560975609755
244,0XLKQME2ZJc_0064,2.6,8,2.4,0.923076923076923
245,0XLKQME2ZJc_0065,3.4,6,2.5999999999999996,0.7647058823529411
